Countries,Idv_BW,Bedtime,GDP_per_Capita,Population_Density,Cultural_Group,Co-Sleeping_Percentage
US,52.6,20.63,"84,534.00",37,Western,0.12
Canada,58.6,20.38,"54,340.30",5,Western,NaN
Australia,66.3,19.72,"64,604.00",3,Western,NaN
New Zealand,65.9,19.47,"49,205.20",20,Western,NaN
UK,56.6,19.92,"53,246.40",283,Western,0.72
Italy (Rome),48.5,22.04,"40,385.30",199,Southern Europe,0.17
Netherlands ,79.8,19.2,"67,520.40",531,Western Europe,0.13
Spain ,50.1,21.5,"35,326.80",97,Southern Europe,NaN
Germany,62.5,20.06,"56,103.70",238,Western Europe,NaN
Switzerland,67.2,20.05,"103,998.20",225,Western Europe,NaN
China,29.6,21.65,"13,303.10",150,East Asia,NaN
Hong Kong ,37.7,22.18,"54,074.70",7177,East Asia,NaN
Taiwan,36.1,21.9,NaN,NaN,East Asia,NaN
Japan,47.6,21.08,"32,487.10",342,East Asia,0.8
South Korea,35,21.91,"36,238.60",530,East Asia,NaN
Singapore,30.1,21.77,"90,674.10",8242,East Asia,NaN
Vietnam,17.9,21.73,"4,717.30",320,Southeast Asia,0.8
Thailand ,20.8,20.97,"7,346.60",140,Southeast Asia,0.9
Malaysia,15.5,22.17,"11,874.40",107,Southeast Asia,NaN
Philippines,22.5,21.99,"3,984.80",385,Southeast Asia,NaN
India,22.3,22.44,"2,694.70",484,South Asia,0.93
Norway,79.4,NaN,NaN,NaN,Western Europe,0.6
Indonesia ,4.8,NaN,NaN,NaN,Southeast Asia,0.7